season,year,google_issue_code,google_issues,TEC,CPT,TAX,CSP,HOM,POS,CPI,IMM,TRD,DEF,INT,AVI,FIN,TRA,WEL,SMB,LBR,EDU,GOV,BUD,HCR,CIV,CAW,MED,BEV,SCI,BAN,MIA,LAW,DIS,ENV,ADV,FOR,NAT,COM,ENG
2015 3rd Quarter - Report,2015,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2015 2nd Quarter - Report,2015,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2015 1st Quarter - Report,2015,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2014 4th Quarter - Report,2014,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2014 3rd Quarter - Report,2014,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2014 2nd Quarter - Report,2014,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2014 1st Quarter - Report,2014,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",15,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2013 4th Quarter - Report,2013,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",13,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2013 3rd Quarter - Report,2013,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",13,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2013 2nd Quarter - Report,2013,"[' ADV  ', ' CPT  ', ' CSP  ', ' FOR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",12,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2013 1st Quarter - Report,2013,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",14,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2012 4th Quarter - Report,2012,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",13,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2012 3rd Quarter - Report,2012,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' SCI  ']",12,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2012 2nd Quarter - Report,2012,"[' ADV  ', ' CPT  ', ' CSP  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ', ' HOM  ']",12,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2012 1st Quarter - Report,2012,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TAX  ', ' TRD  ', ' HOM  ']",13,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2011 4th Quarter - Report,2011,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' LBR  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",10,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2011 3rd Quarter - Report,2011,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",12,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2011 2nd Quarter - Report,2011,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",12,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
2011 1st Quarter - Report,2011,"[' ADV  ', ' CPT  ', ' CSP  ', ' ENG  ', ' FOR  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TAX  ', ' TEC  ', ' TRD  ']",12,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
