season,year,amazon_lobby,facebook_lobby,google_lobby,apple_lobby,microsoft_lobby,amazon_link,facebook_link,google_link,apple_link,microsoft_link
2017 2nd Quarter - Amendment,2017,0.0,0.0,0.0,2230000.0,0.0,0,0,0,https://lda.senate.gov//filings/public/filing/db8c8b00-fba2-4dbc-90bd-c31764606b79/print/,0
2017 1st Quarter - Report,2017,2900000.0,3210000.0,3520000.0,1400000.0,2300000.0,https://lda.senate.gov//filings/public/filing/1138d649-6673-4355-a53b-8d5d76e0957a/print/,https://lda.senate.gov//filings/public/filing/18ffb6dd-3c79-4252-b955-47db417cc8c1/print/,https://lda.senate.gov//filings/public/filing/310c44d8-8065-49e8-8489-a66d233a0ee5/print/,https://lda.senate.gov//filings/public/filing/12c6b640-1f99-4441-ae65-2f8178caf922/print/,https://lda.senate.gov//filings/public/filing/433bf5c8-8547-48df-84b9-75fd4de27386/print/
2016 4th Quarter - Report,2016,2660000.0,1700000.0,3580000.0,1350000.0,2400000.0,https://lda.senate.gov//filings/public/filing/6d1cf467-a47a-4e94-bdf3-4f9a935f3839/print/,https://lda.senate.gov//filings/public/filing/76f755f5-3add-4dcd-a832-ce8affd62cb4/print/,https://lda.senate.gov//filings/public/filing/b903c8cd-ab0f-4a60-bee8-5cfc8bf6affd/print/,https://lda.senate.gov//filings/public/filing/47c0c80c-4760-4a2a-ab2c-a6ed5c6a9173/print/,https://lda.senate.gov//filings/public/filing/57241d89-0855-423d-a6db-944b5a1b38a7/print/
2016 3rd Quarter - Report,2016,2710000.0,2020000.0,3810000.0,1070000.0,2220000.0,https://lda.senate.gov//filings/public/filing/67c6f981-f324-4f9e-9231-9bdeef886915/print/,https://lda.senate.gov//filings/public/filing/15a9b300-0910-455d-b0ed-2c58835c3959/print/,https://lda.senate.gov//filings/public/filing/7ef0916d-a6db-483d-ac41-6df0ee0e0898/print/,https://lda.senate.gov//filings/public/filing/f8c62b5b-80bd-43ec-8396-61bd963b83e2/print/,https://lda.senate.gov//filings/public/filing/0458557f-0257-4de5-b57e-b12eecabe487/print/
2016 2nd Quarter - Report,2016,3000000.0,2190000.0,4240000.0,1120000.0,2070000.0,https://lda.senate.gov//filings/public/filing/ce8114ce-ff40-48ac-ade2-ff1ca99dfa36/print/,https://lda.senate.gov//filings/public/filing/4afa95fd-b3e3-443b-bde3-f4dcc76d3fb4/print/,https://lda.senate.gov//filings/public/filing/04b49514-f9d0-4146-90db-d41611dfe15b/print/,https://lda.senate.gov//filings/public/filing/942aa6a0-9ee4-4f80-aba0-fc8902697048/print/,https://lda.senate.gov//filings/public/filing/4064f258-cde1-4467-8726-c26aa110e8d4/print/
2016 1st Quarter - Report,2016,2650000.0,2782000.0,3800000.0,1130000.0,2020000.0,https://lda.senate.gov//filings/public/filing/87759ccd-06d0-4198-8ed4-1793247f562e/print/,https://lda.senate.gov//filings/public/filing/d6d33eed-b285-4666-8dfa-20ed2c99fabf/print/,https://lda.senate.gov//filings/public/filing/5a12bb4d-9618-409f-8756-659a80b1ca70/print/,https://lda.senate.gov//filings/public/filing/78c8704b-1c29-4ece-9df5-eac747ba6cdf/print/,https://lda.senate.gov//filings/public/filing/e9792b72-911d-46ae-825f-238634e4de67/print/
2015 4th Quarter - Report,2015,2990000.0,2130000.0,3290000.0,1030000.0,2470000.0,https://lda.senate.gov//filings/public/filing/aa5cdbf4-f1df-4bb6-95cd-fe5e8da0ec20/print/,https://lda.senate.gov//filings/public/filing/e367d800-15aa-4389-af96-2ff59196d43f/print/,https://lda.senate.gov//filings/public/filing/56b1a359-d67f-4792-91c6-298bbb2fa8de/print/,https://lda.senate.gov//filings/public/filing/25fd6cbc-38f0-492a-9b2a-7648ca53c470/print/,https://lda.senate.gov//filings/public/filing/343f35cf-2b3e-42ad-91f6-e83bd8f813be/print/
2015 4th Quarter - Amendment,2015,0.0,0.0,0.0,1070000.0,0.0,0,0,0,https://lda.senate.gov//filings/public/filing/371ca7f6-0d18-4ded-93db-a31765a4457a/print/,0
2015 3rd Quarter - Report,2015,2020000.0,2590000.0,3650000.0,980000.0,1890000.0,https://lda.senate.gov//filings/public/filing/35b2aac4-f48b-43a7-ba3d-88ebc60bfcd3/print/,https://lda.senate.gov//filings/public/filing/0023d775-e84d-4c5f-a75a-9427cbfbdb47/print/,https://lda.senate.gov//filings/public/filing/e2771979-7c62-400a-b2c2-f62e68ac2772/print/,https://lda.senate.gov//filings/public/filing/7e95da17-0e67-4713-b72a-5fbfd8191ff8/print/,https://lda.senate.gov//filings/public/filing/ada25799-e70e-488b-b329-5e2234aabc5e/print/
2015 2nd Quarter - Report,2015,2150000.0,2690000.0,4620000.0,1230000.0,2240000.0,https://lda.senate.gov//filings/public/filing/2ce4b902-5f03-4198-90f3-d2d4e2c44b07/print/,https://lda.senate.gov//filings/public/filing/6b1c05ce-1f5e-451b-bb1a-4e49cad87dd1/print/,https://lda.senate.gov//filings/public/filing/06a99360-1da5-43c8-b30e-0b2bcb91082b/print/,https://lda.senate.gov//filings/public/filing/4be6794a-9260-431a-b1b4-099f0dc15399/print/,https://lda.senate.gov//filings/public/filing/2d63356a-e7ee-42c9-944d-9fccea2ef743/print/
