,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
efforts government,0.042077872441558355,0.04383323228027959,0.029840679248223548,0.029840679248223548,0.03080767747757514,0.03214374558597973,0.03214374558597973,0.031142702480583987,0.02890415864869155,0.03134922282875024,0.04143599281513576,0.05106474464766116,0.05440203650530471,0.043214723510679155,0.019375293500521532,0.01514575738133074,0.013663558684537577,0.012102608786074609,0.009365163352384472,0.009148331501653157,0.00905409953683181,0.009136825262206466,0.01007980185448289,0.009766135551449076,0.009639126814139571,0.009853773702358746,0.010436226274980599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trade trade,0.042077872441558355,0.04383323228027959,0.029840679248223548,0.029840679248223548,0.03080767747757514,0.03214374558597973,0.03214374558597973,0.031142702480583987,0.02890415864869155,0.03134922282875024,0.04143599281513576,0.05106474464766116,0.05440203650530471,0.043214723510679155,0.019375293500521532,0.01514575738133074,0.013663558684537577,0.012102608786074609,0.009365163352384472,0.009148331501653157,0.00905409953683181,0.0,0.0,0.0,0.0,0.0,0.010436226274980599,0.010288786325363626,0.010288786325363626,0.01027529776216221,0.010538264626178555,0.010538264626178555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patents policy,0.041044581595090744,0.042756835707491656,0.029107892656829448,0.029107892656829448,0.03005114466611426,0.031354403441095705,0.031354403441095705,0.030377942583273462,0.028194369849411795,0.030579391487163016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.0,0.0,0.0,0.0,0.0,0.0
software patents,0.041044581595090744,0.042756835707491656,0.029107892656829448,0.029107892656829448,0.03005114466611426,0.031354403441095705,0.031354403441095705,0.030377942583273462,0.028194369849411795,0.030579391487163016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.0,0.0,0.0,0.0,0.0,0.0
united states,0.04004632438459165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01843984126446056,0.014414510001319622,0.01300387285713801,0.0115182866724096,0.00891300695027224,0.008706643887516208,0.008616961505502377,0.008695693177069311,0.009593142223568203,0.009294619941167781,0.009173743271344752,0.01875605372610435,0.009932358232687144,0.009792036783264773,0.009792036783264773,0.00977919945699082,0.010029470103479035,0.010029470103479035,0.010248215453493107,0.0103719496988445,0.01942855058087688,0.01942855058087688,0.019823288897338108,0.010117289549810405,0.010365444332383124,0.010754192051321039,0.011346696861732373,0.011642341814901041
stem youth,0.04004632438459165,0.04171693426656104,0.02839995113086225,0.02839995113086225,0.029320262033599175,0.030591823872743732,0.030591823872743732,0.029639111803536452,0.027508646377424447,0.02983566121002489,0.039435435139388464,0.048599304340227814,0.05177546949645975,0.04112828751745235,0.01843984126446056,0.014414510001319622,0.01300387285713801,0.0115182866724096,0.00891300695027224,0.008706643887516208,0.008616961505502377,0.008695693177069311,0.009593142223568203,0.009294619941167781,0.009173743271344752,0.009378026863052174,0.009932358232687144,0.009792036783264773,0.009792036783264773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
procurement internet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899501540043537,0.014773828584629235,0.013328027696403264,0.011805409470819348,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.010158717574376298,0.010369488906405823,0.010623829582561285,0.011022267834137548,0.01162954234459846,0.01193255700549396
rights outside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899501540043537,0.014773828584629235,0.013328027696403264,0.011805409470819348,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.010158717574376298,0.010369488906405823,0.010623829582561285,0.011022267834137548,0.01162954234459846,0.01193255700549396
rights market,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899501540043537,0.014773828584629235,0.013328027696403264,0.011805409470819348,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.010158717574376298,0.010369488906405823,0.010623829582561285,0.011022267834137548,0.01162954234459846,0.01193255700549396
reform section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020911880828972364,0.016346914869413025,0.014747168134667433,0.013062424713579364,0.010107881976789244,0.009873853944011484,0.009772148768883639,0.009861435184621214,0.010879195979917773,0.010540653890275059,0.01040357253051227,0.01063524231897913,0.011263887185023027,0.01110475428436597,0.01110475428436597,0.022180391979998507,0.011374017843956221,0.011374017843956221,0.011622088129691404,0.011762410150696982,0.011016568109238675,0.011016568109238675,0.011240396517359948,0.011473610338805265,0.0,0.0,0.0,0.0
reform proposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01514575738133074,0.013663558684537577,0.024205217572149218,0.009365163352384472,0.009148331501653157,0.00905409953683181,0.009136825262206466,0.01007980185448289,0.009766135551449076,0.009639126814139571,0.009853773702358746,0.010436226274980599,0.010288786325363626,0.010288786325363626,0.01027529776216221,0.010538264626178555,0.010538264626178555,0.010768106916988587,0.010898118194491789,0.010207079995849137,0.010207079995849137,0.010414461681722933,0.010630539148682335,0.010891282811111319,0.01129975168261929,0.011922314232781584,0.012232957239813916
recovery implementation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04112828751745235,0.01843984126446056,0.014414510001319622,0.01300387285713801,0.0115182866724096,0.00891300695027224,0.008706643887516208,0.008616961505502377,0.008695693177069311,0.009593142223568203,0.009294619941167781,0.009173743271344752,0.009378026863052174,0.009932358232687144,0.009792036783264773,0.009792036783264773,0.00977919945699082,0.010029470103479035,0.010029470103479035,0.010248215453493107,0.0103719496988445,0.00971427529043844,0.00971427529043844,0.009911644448669054,0.010117289549810405,0.010365444332383124,0.010754192051321039,0.011346696861732373,0.011642341814901041
property rights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012065676193458276,0.011908761896084112,0.012173949680499178,0.01289354691548321,0.025422781318471296,0.025422781318471296,0.025389452140303345,0.02603922256671518,0.02603922256671518,0.026607144779522276,0.02692839241479982,0.025220891408243386,0.025220891408243386,0.025733315233824106,0.026267225650139798,0.026911502720387448,0.02792079715681194,0.029459100224767474,0.030226674648626082
property european,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01273025228017791,0.00985084242813069,0.009622765638160946,0.009523646786495437,0.00961066268304262,0.010602542212999305,0.010272609118408523,0.01013901368486884,0.010364792199772939,0.01097745086880687,0.010822364656571338,0.010822364656571338,0.01080817657402762,0.0110847809474671,0.0110847809474671,0.011326542901305709,0.011463296587319946,0.010736421021939143,0.010736421021939143,0.010954557559782096,0.011181840843500233,0.011456106719713447,0.011885758861231822,0.012540607618540736,0.012867360628449214
outside united,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899501540043537,0.014773828584629235,0.013328027696403264,0.011805409470819348,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.010158717574376298,0.010369488906405823,0.010623829582561285,0.011022267834137548,0.01162954234459846,0.01193255700549396
proceedings recovery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04112828751745235,0.01843984126446056,0.014414510001319622,0.01300387285713801,0.0115182866724096,0.00891300695027224,0.008706643887516208,0.008616961505502377,0.008695693177069311,0.009593142223568203,0.009294619941167781,0.009173743271344752,0.009378026863052174,0.009932358232687144,0.009792036783264773,0.009792036783264773,0.00977919945699082,0.010029470103479035,0.010029470103479035,0.010248215453493107,0.0103719496988445,0.00971427529043844,0.00971427529043844,0.009911644448669054,0.010117289549810405,0.010365444332383124,0.010754192051321039,0.011346696861732373,0.011642341814901041
safe data,0.0,0.0,0.03138822230450419,0.03138822230450419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00985084242813069,0.009622765638160946,0.009523646786495437,0.00961066268304262,0.010602542212999305,0.010272609118408523,0.01013901368486884,0.010364792199772939,0.01097745086880687,0.010822364656571338,0.010822364656571338,0.01080817657402762,0.0110847809474671,0.0110847809474671,0.011326542901305709,0.011463296587319946,0.010736421021939143,0.010736421021939143,0.010954557559782096,0.011181840843500233,0.011456106719713447,0.011885758861231822,0.012540607618540736,0.0
privacy ecpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010107881976789244,0.009873853944011484,0.009772148768883639,0.009861435184621214,0.010879195979917773,0.010540653890275059,0.01040357253051227,0.01063524231897913,0.011263887185023027,0.01110475428436597,0.01110475428436597,0.011090195989999253,0.011374017843956221,0.011374017843956221,0.011622088129691404,0.011762410150696982,0.011016568109238675,0.011016568109238675,0.011240396517359948,0.011473610338805265,0.011755032676767677,0.012195895797787732,0.012867831624577896,0.013203110651098908
policy china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899501540043537,0.014773828584629235,0.013328027696403264,0.011805409470819348,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.010158717574376298,0.010369488906405823,0.010623829582561285,0.011022267834137548,0.01162954234459846,0.01193255700549396
piracy competition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01273025228017791,0.00985084242813069,0.009622765638160946,0.009523646786495437,0.00961066268304262,0.010602542212999305,0.010272609118408523,0.01013901368486884,0.010364792199772939,0.01097745086880687,0.010822364656571338,0.010822364656571338,0.01080817657402762,0.0110847809474671,0.0110847809474671,0.011326542901305709,0.011463296587319946,0.010736421021939143,0.010736421021939143,0.010954557559782096,0.011181840843500233,0.011456106719713447,0.011885758861231822,0.012540607618540736,0.012867360628449214
patent trademark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010107881976789244,0.009873853944011484,0.009772148768883639,0.009861435184621214,0.010879195979917773,0.010540653890275059,0.01040357253051227,0.01063524231897913,0.011263887185023027,0.01110475428436597,0.01110475428436597,0.011090195989999253,0.011374017843956221,0.011374017843956221,0.011622088129691404,0.011762410150696982,0.011016568109238675,0.011016568109238675,0.011240396517359948,0.011473610338805265,0.011755032676767677,0.012195895797787732,0.012867831624577896,0.013203110651098908
parental controls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014011293442033121,0.012410617689791008,0.009603504832992516,0.009381154656269255,0.009284524507329698,0.009369355585395842,0.010336330737945609,0.010014681692030658,0.009884440608486339,0.01010455021585104,0.010701826086617213,0.010550633820615548,0.010550633820615548,0.010536801976255679,0.010806461292860644,0.010806461292860644,0.011042153022685967,0.011175473060454195,0.01046684808182449,0.01046684808182449,0.010679507588938805,0.01090108418297836,0.011168463717972947,0.011587328038225837,0.012225734677208966,0.012544283484861184
rulemaking proceedings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04112828751745235,0.01843984126446056,0.014414510001319622,0.01300387285713801,0.0115182866724096,0.00891300695027224,0.008706643887516208,0.008616961505502377,0.008695693177069311,0.009593142223568203,0.009294619941167781,0.009173743271344752,0.009378026863052174,0.009932358232687144,0.009792036783264773,0.009792036783264773,0.00977919945699082,0.010029470103479035,0.010029470103479035,0.010248215453493107,0.0103719496988445,0.00971427529043844,0.00971427529043844,0.009911644448669054,0.010117289549810405,0.010365444332383124,0.010754192051321039,0.011346696861732373,0.011642341814901041
visa bulletin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010107881976789244,0.009873853944011484,0.009772148768883639,0.009861435184621214,0.010879195979917773,0.010540653890275059,0.01040357253051227,0.01063524231897913,0.011263887185023027,0.01110475428436597,0.01110475428436597,0.011090195989999253,0.011374017843956221,0.011374017843956221,0.011622088129691404,0.011762410150696982,0.011016568109238675,0.011016568109238675,0.011240396517359948,0.011473610338805265,0.011755032676767677,0.012195895797787732,0.012867831624577896,0.013203110651098908
xbox 360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014011293442033121,0.012410617689791008,0.009603504832992516,0.009381154656269255,0.009284524507329698,0.009369355585395842,0.010336330737945609,0.010014681692030658,0.009884440608486339,0.01010455021585104,0.010701826086617213,0.010550633820615548,0.010550633820615548,0.010536801976255679,0.010806461292860644,0.010806461292860644,0.011042153022685967,0.011175473060454195,0.01046684808182449,0.01046684808182449,0.010679507588938805,0.01090108418297836,0.011168463717972947,0.011587328038225837,0.012225734677208966,0.012544283484861184
states asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899501540043537,0.014773828584629235,0.013328027696403264,0.011805409470819348,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.010158717574376298,0.010369488906405823,0.010623829582561285,0.011022267834137548,0.01162954234459846,0.01193255700549396
trademark office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010107881976789244,0.009873853944011484,0.009772148768883639,0.009861435184621214,0.010879195979917773,0.010540653890275059,0.01040357253051227,0.01063524231897913,0.011263887185023027,0.01110475428436597,0.01110475428436597,0.011090195989999253,0.011374017843956221,0.011374017843956221,0.011622088129691404,0.011762410150696982,0.011016568109238675,0.011016568109238675,0.011240396517359948,0.011473610338805265,0.011755032676767677,0.012195895797787732,0.012867831624577896,0.013203110651098908
trade aspects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899501540043537,0.014773828584629235,0.013328027696403264,0.011805409470819348,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.010158717574376298,0.010369488906405823,0.010623829582561285,0.011022267834137548,0.01162954234459846,0.01193255700549396
threats ip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018899501540043537,0.014773828584629235,0.013328027696403264,0.011805409470819348,0.009135186478407942,0.008923679287731493,0.008831761342632263,0.008912455602777404,0.00983227586549877,0.009526312150570386,0.009402422320136833,0.009611798203622398,0.010179947702517613,0.010036128381547074,0.010036128381547074,0.010022971052034037,0.010279480335432689,0.010279480335432689,0.01050367847359325,0.010630497111944645,0.009956428484332674,0.009956428484332674,0.010158717574376298,0.010369488906405823,0.010623829582561285,0.011022267834137548,0.01162954234459846,0.01193255700549396
