,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
faa reauthorization,0.007990075766714363,0.007870283157557384,0.0059609753961853895,0.00648993434978548,0.006846385564427183,0.007712343932030619,0.009762996878473762,0.009976788473626206,0.010300308079484087,0.009027626551679466,0.023806267034540144,0.014389189960836272,0.01565572232510889,0.01522920561386015,0.015657787516771236,0.0147603465836976,0.014994834116637133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public 114,0.007990075766714363,0.007870283157557384,0.0059609753961853895,0.00648993434978548,0.006846385564427183,0.007712343932030619,0.009762996878473762,0.009976788473626206,0.010300308079484087,0.009027626551679466,0.011903133517270072,0.028778379921672544,0.03131144465021778,0.0304584112277203,0.03131557503354247,0.0295206931673952,0.014994834116637133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computing government,0.007990075766714363,0.007870283157557384,0.0059609753961853895,0.00648993434978548,0.006846385564427183,0.007712343932030619,0.009762996878473762,0.009976788473626206,0.010300308079484087,0.009027626551679466,0.011903133517270072,0.014389189960836272,0.01565572232510889,0.01522920561386015,0.015657787516771236,0.0147603465836976,0.014994834116637133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usda snap,0.0077591613738227415,0.00764283078911009,0.005788702309566329,0.006302374269750914,0.0066485239906111234,0.007489456030985275,0.009480844798466313,0.009688457784323761,0.010002627624853204,0.008766726784856533,0.011559131166116073,0.01397334020408546,0.015203269592302214,0.014789079278238143,0.015205275099614517,0.014333770344653244,0.014561481152579112,0.01600108263101077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
immigration high,0.0077591613738227415,0.00764283078911009,0.005788702309566329,0.006302374269750914,0.0066485239906111234,0.007489456030985275,0.009480844798466313,0.009688457784323761,0.010002627624853204,0.008766726784856533,0.011559131166116073,0.01397334020408546,0.015203269592302214,0.014789079278238143,0.015205275099614517,0.014333770344653244,0.014561481152579112,0.01600108263101077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snap pilot,0.0077591613738227415,0.00764283078911009,0.005788702309566329,0.006302374269750914,0.0066485239906111234,0.007489456030985275,0.009480844798466313,0.009688457784323761,0.010002627624853204,0.008766726784856533,0.011559131166116073,0.01397334020408546,0.015203269592302214,0.014789079278238143,0.015205275099614517,0.014333770344653244,0.014561481152579112,0.01600108263101077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
federal modernization,0.0077591613738227415,0.00764283078911009,0.005788702309566329,0.006302374269750914,0.0066485239906111234,0.007489456030985275,0.009480844798466313,0.009688457784323761,0.010002627624853204,0.008766726784856533,0.011559131166116073,0.01397334020408546,0.015203269592302214,0.014789079278238143,0.015205275099614517,0.014333770344653244,0.014561481152579112,0.01600108263101077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stem education,0.007133036127444852,0.007026092835057403,0.005321583186098505,0.005793804406037752,0.006112021587694893,0.0068850946474912356,0.008715788370417615,0.008906648033891565,0.00919546595050438,0.008059296084083312,0.010626367494810569,0.012845762021793494,0.013976442302520013,0.01359567506086627,0.013978285975492298,0.013177107265206494,0.013386442957724077,0.014709875846930362,0.01383477381118997,0.01383477381118997,0.01383477381118997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protection encryption,0.007133036127444852,0.007026092835057403,0.005321583186098505,0.005793804406037752,0.006112021587694893,0.0068850946474912356,0.008715788370417615,0.008906648033891565,0.00919546595050438,0.008059296084083312,0.010626367494810569,0.012845762021793494,0.013976442302520013,0.01359567506086627,0.013978285975492298,0.013177107265206494,0.013386442957724077,0.014709875846930362,0.01383477381118997,0.01383477381118997,0.01383477381118997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
job training,0.007133036127444852,0.007026092835057403,0.005321583186098505,0.005793804406037752,0.006112021587694893,0.0068850946474912356,0.008715788370417615,0.008906648033891565,0.00919546595050438,0.008059296084083312,0.010626367494810569,0.012845762021793494,0.013976442302520013,0.01359567506086627,0.013978285975492298,0.013177107265206494,0.013386442957724077,0.014709875846930362,0.01383477381118997,0.01383477381118997,0.01383477381118997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
