,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
breach net,0.018502394843509195,0.01941528569995837,0.015031247113382606,0.016448276804780636,0.015428287114413679,0.01586897177505626,0.01586897177505626,0.018597684772699918,0.019081343025383352,0.020107633007844555,0.013042244662874016,0.013484972251699414,0.01370502270599586,0.01370502270599586,0.014199563215357236,0.014443764438814352,0.021209077929129728,0.022836697146503392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax international,0.018009947884085314,0.01889854186813789,0.01463118582402303,0.016010500832060105,0.015017658482667827,0.015446614184814297,0.015446614184814297,0.018102701642348402,0.018573487181096766,0.019572462138361245,0.01269512128870455,0.013126065545868607,0.01334025928928764,0.01334025928928764,0.013821637450087833,0.01405933918247927,0.020644591762516106,0.022228891391183843,0.012092451209197615,0.012092451209197615,0.012225708721659635,0.01235851828858088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutrality connectivity,0.018009947884085314,0.01889854186813789,0.01463118582402303,0.016010500832060105,0.015017658482667827,0.015446614184814297,0.015446614184814297,0.018102701642348402,0.018573487181096766,0.019572462138361245,0.01269512128870455,0.013126065545868607,0.01334025928928764,0.01334025928928764,0.013821637450087833,0.01405933918247927,0.020644591762516106,0.022228891391183843,0.012092451209197615,0.012092451209197615,0.012225708721659635,0.01235851828858088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
international tax,0.01665173085868685,0.01747331168503488,0.013527777540120271,0.014803071751464256,0.013885104431758923,0.014281710515708446,0.014281710515708446,0.01673748960872152,0.017172770939564628,0.01809640837760717,0.011737720968348615,0.012136165640791768,0.012334206001040678,0.012334206001040678,0.012779281113222303,0.012999056611624689,0.019087683536311417,0.020552503489477677,0.011180501145996943,0.011180501145996943,0.011303709066791455,0.011426502823778701,0.01171608984501936,0.012107465510100683,0.012651363194299055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mutual legal,0.01665173085868685,0.01747331168503488,0.013527777540120271,0.014803071751464256,0.013885104431758923,0.0,0.0,0.0,0.0,0.0,0.011737720968348615,0.012136165640791768,0.012334206001040678,0.012334206001040678,0.012779281113222303,0.012999056611624689,0.019087683536311417,0.020552503489477677,0.011180501145996943,0.011180501145996943,0.011303709066791455,0.011426502823778701,0.01171608984501936,0.012107465510100683,0.012651363194299055,0.015429623667382285,0.012747482425774953,0.01259855007882085,0.013910086503753034,0.018625945495987676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax policy,0.01665173085868685,0.01747331168503488,0.013527777540120271,0.014803071751464256,0.013885104431758923,0.014281710515708446,0.014281710515708446,0.01673748960872152,0.017172770939564628,0.01809640837760717,0.011737720968348615,0.012136165640791768,0.012334206001040678,0.012334206001040678,0.012779281113222303,0.012999056611624689,0.019087683536311417,0.020552503489477677,0.011180501145996943,0.011180501145996943,0.011303709066791455,0.011426502823778701,0.01171608984501936,0.012107465510100683,0.012651363194299055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legal assistance,0.01665173085868685,0.01747331168503488,0.013527777540120271,0.014803071751464256,0.013885104431758923,0.0,0.0,0.0,0.0,0.0,0.011737720968348615,0.012136165640791768,0.012334206001040678,0.012334206001040678,0.012779281113222303,0.012999056611624689,0.019087683536311417,0.020552503489477677,0.011180501145996943,0.011180501145996943,0.011303709066791455,0.011426502823778701,0.01171608984501936,0.012107465510100683,0.012651363194299055,0.015429623667382285,0.012747482425774953,0.01259855007882085,0.013910086503753034,0.018625945495987676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
online advertising,0.01544199571683031,0.016203889342733934,0.01254499514828478,0.013727640238839966,0.012876362522464612,0.013244155486546927,0.013244155486546927,0.015521524161167687,0.015925182645894452,0.01678171855097224,0.010884984777665464,0.011254482758234327,0.011438135642170284,0.011438135642170284,0.011850876397729098,0.012054685379137382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011683275330740338,0.012899529666589414,0.017272785214451768,0.02024559505735566,0.03599546998873794,0.04280377275955941,0.07807811771566626,0.059645376784253315,0.04216981527087266,0.04216981527087266,0.045486665885233764,0.045486665885233764,0.0,0.0,0.0
trade agreement,0.0,0.0,0.018478137976442297,0.02022011387217859,0.018966225216701094,0.019507965492942404,0.019507965492942404,0.02286241338992892,0.02345698174870287,0.024718615447936958,0.016033027371929808,0.016577279050488787,0.016847790381025584,0.016847790381025584,0.01745573646147979,0.017755936695500237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transparency national,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013042244662874016,0.013484972251699414,0.01370502270599586,0.01370502270599586,0.014199563215357236,0.014443764438814352,0.021209077929129728,0.022836697146503392,0.012423095743444884,0.012423095743444884,0.012559996923132078,0.012696437909079837,0.013018209468686518,0.01345308240465509,0.01405742857100324,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.015456045679812475,0.02069602258318164,0.024258003982265252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
