,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
privacy safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022323813675381127,0.01954124624774595,0.017732075676423008,0.017253223705438643,0.017776388803206415,0.017776388803206415,0.020217426464933318,0.019160586414603404,0.020696863436073795,0.017344585355841678,0.01707758929312943,0.017084885169910868,0.0181847217371439,0.021742518741481306,0.0181847217371439,0.0181847217371439,0.01861901030113573,0.017435849007270278,0.014474267904625087,0.0159127369450141,0.01649608022747301,0.02107690434751198,0.02107690434751198,0.02107690434751198,0.032000678601390525
privacy protection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02727060408767934,0.02685081060344118,0.02686228178958355,0.0,0.0,0.0,0.0,0.0,0.054828192828452964,0.0455153030629345,0.05003866512527642,0.05187302707475782,0.06627773475845014,0.06627773475845014,0.06627773475845014,0.0
privacy location,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022247389749007005,0.021904921748374804,0.02191427995504203,0.02332500798741913,0.02788848961465131,0.02332500798741913,0.02332500798741913,0.023882057161466328,0.022364450951773994,0.018565717934403217,0.020410799885159456,0.021159037164752734,0.02703472559888617,0.02703472559888617,0.02703472559888617,0.04104632970300809
privacy health,0.0,0.0,0.02004676269851472,0.020639867877100374,0.019809747074766414,0.019809747074766414,0.019379713119702595,0.01855744356623752,0.01727458222192654,0.01727458222192654,0.01727458222192654,0.017615443452463717,0.01703877757271285,0.016805606359986278,0.017158907902864153,0.017528652090375074,0.019346229605125043,0.02480486974838148,0.021713049344742445,0.019702808575542675,0.019170737266323592,0.019752046638267507,0.019752046638267507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
privacy accessibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02043064587516198,0.020870890242822127,0.023035030452952587,0.029534485101124004,0.025853138471493484,0.023459599353979,0.022826076488740334,0.02351822577873778,0.02351822577873778,0.026747727310147823,0.025349524154780954,0.027382024132679185,0.02294694827802687,0.02259371153492818,0.02260336400592773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
payments diversity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019616453336928068,0.018260383487726992,0.018260383487726992,0.018260383487726992,0.01862069650171161,0.01801112227448819,0.017764644778940932,0.018138108031300625,0.018528952253729206,0.02045025269455126,0.026220398742473863,0.022952138733617268,0.020827180406019736,0.020264745608793485,0.020879228316411858,0.020879228316411858,0.023746345098812734,0.022505035350862897,0.024309467007012975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
open internet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02443626322742936,0.0231588888937601,0.025015745885524875,0.020963936931394287,0.020641225923618885,0.020650044254963643,0.0219793873298933,0.0,0.0219793873298933,0.0219793873298933,0.02250430031447982,0.021074244868622288,0.017494660913209243,0.019233300011336888,0.019938371451900458,0.02547509118178221,0.02547509118178221,0.02547509118178221,0.03867836527642462
video programming,0.0,0.029601909776398445,0.019002372419729182,0.01956457818118061,0.018777704765430395,0.018777704765430395,0.018370074591414456,0.017590643392505444,0.016374616176835464,0.016374616176835464,0.016374616176835464,0.016697719320396622,0.01615109640808028,0.015930072879821598,0.016264968224032346,0.01661544958886804,0.018338335491017405,0.023512593024136597,0.020581849360012748,0.018676337516323038,0.01817198589987062,0.018723010389105264,0.018723010389105264,0.021294037272386882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
online protection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022247389749007005,0.021904921748374804,0.02191427995504203,0.02332500798741913,0.02788848961465131,0.02332500798741913,0.02332500798741913,0.023882057161466328,0.022364450951773994,0.018565717934403217,0.020410799885159456,0.021159037164752734,0.02703472559888617,0.02703472559888617,0.02703472559888617,0.04104632970300809
online privacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022323813675381127,0.01954124624774595,0.017732075676423008,0.017253223705438643,0.017776388803206415,0.017776388803206415,0.020217426464933318,0.019160586414603404,0.020696863436073795,0.017344585355841678,0.01707758929312943,0.017084885169910868,0.0181847217371439,0.04348503748296261,0.0181847217371439,0.0181847217371439,0.01861901030113573,0.017435849007270278,0.014474267904625087,0.0159127369450141,0.01649608022747301,0.02107690434751198,0.02107690434751198,0.02107690434751198,0.032000678601390525
